2026-07-08 13:17:52 | INFO     | main                 | Input   : /private/tmp/claude-501/-Users-rafaelchamayo-qc-universities-paper/c8ece6fe-f5db-4b7a-84ca-cebd6517c601/scratchpad/pucp_noseed.csv
2026-07-08 13:17:52 | INFO     | main                 | Output  : /private/tmp/claude-501/-Users-rafaelchamayo-qc-universities-paper/c8ece6fe-f5db-4b7a-84ca-cebd6517c601/scratchpad/pucp_noseed_candidates.csv
2026-07-08 13:17:52 | INFO     | main                 | Country : all
2026-07-08 13:17:52 | INFO     | main                 | Resume  : False | dry-run: False | limit: none
2026-07-08 13:17:52 | INFO     | pipeline             | ============================================================
2026-07-08 13:17:52 | INFO     | pipeline             | QISE-LatAm-Scraper pipeline starting
2026-07-08 13:17:52 | INFO     | pipeline             | ============================================================
2026-07-08 13:17:52 | INFO     | input_loader         | Loaded 1 universities from /private/tmp/claude-501/-Users-rafaelchamayo-qc-universities-paper/c8ece6fe-f5db-4b7a-84ca-cebd6517c601/scratchpad/pucp_noseed.csv
2026-07-08 13:17:52 | INFO     | classifier           | Classifier ready | categories=25 (core=12 adjacent=12)
2026-07-08 13:17:52 | INFO     | pipeline             | Universities to process: 1
2026-07-08 13:17:53 | DEBUG    | seed_discovery       | robots.txt unreadable for https://www.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-08 13:17:57 | INFO     | seed_discovery       | Seed discovery: PUCP | homepage_links=108 sitemap_urls=1000 candidates=568 scored>=3: 166 → kept 20
2026-07-08 13:17:57 | INFO     | seed_discovery       |     [ 14] https://www.pucp.edu.pe/unidad/departamento-de-ingenieria-informatica-electronica-y-de-las-telecomunicaciones  (url:departamento + stem:electronica,informatica,ingenieria + sitemap)
2026-07-08 13:17:57 | INFO     | seed_discovery       |     [ 13] https://educacioncontinua.pucp.edu.pe/oferta-academica?tipo%5B%5D=cursos-y-talleres&tipo%5B%5D=talleres  (url:cursos,oferta academica + anchor:cursos + curriculum-pattern)
2026-07-08 13:17:57 | INFO     | seed_discovery       |     [ 12] https://www.pucp.edu.pe/carrera/ingenieria-de-las-telecomunicaciones  (url:carrera + stem:ingenieria,telecomunicaciones + sitemap)
2026-07-08 13:17:57 | INFO     | seed_discovery       |     [ 12] https://www.pucp.edu.pe/carrera/ingenieria-electronica  (url:carrera + stem:electronica,ingenieria + sitemap)
2026-07-08 13:17:57 | INFO     | seed_discovery       |     [ 12] https://www.pucp.edu.pe/carrera/ingenieria-informatica  (url:carrera + stem:informatica,ingenieria + sitemap)
2026-07-08 13:17:57 | INFO     | pipeline             | Discovered seeds written → data/processed/discovered_seeds.csv (20 rows)
2026-07-08 13:17:57 | INFO     | pipeline             | Seed resolution: {'auto_discovered': 1} | 20 seeds auto-discovered
2026-07-08 13:17:57 | WARNING  | dispatcher           | TWITTER_BEARER_TOKEN not set. Twitter source will be skipped.
  → Set it with: export TWITTER_BEARER_TOKEN=your_token_here
2026-07-08 13:17:57 | INFO     | pipeline             | Phase 1/2 — crawling, extracting, classifying...
2026-07-08 13:17:57 | INFO     | dispatcher           | Dispatching 1 universities
2026-07-08 13:17:57 | INFO     | crawler              | Crawl: PUCP | seeds=21 max_pages=80 max_depth=2 max_pdfs=50 pdfs=on seed_origin=auto_discovered
2026-07-08 13:17:58 | DEBUG    | crawler              | robots.txt unreadable for https://www.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-08 13:17:58 | DEBUG    | crawler              |   HTML (96,785b) depth=0: https://www.pucp.edu.pe/unidad/departamento-de-ingenieria-informatica-electronica-y-de-las-telecomunicaciones
2026-07-08 13:17:58 | DEBUG    | crawler              | robots.txt unreadable for https://educacioncontinua.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)> (allowing)
2026-07-08 13:17:58 | DEBUG    | crawler              |   HTML (224,857b) depth=0: https://educacioncontinua.pucp.edu.pe/oferta-academica?tipo%5B%5D=cursos-y-talleres&tipo%5B%5D=talleres
2026-07-08 13:17:58 | DEBUG    | crawler              |   HTML (111,145b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-de-las-telecomunicaciones
2026-07-08 13:17:58 | DEBUG    | crawler              |   HTML (110,035b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-electronica
2026-07-08 13:17:58 | DEBUG    | crawler              |   HTML (109,145b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-informatica
